"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.000996945035890022
"US National","Season onset","week","Bin","41","42",0.000996945035890022
"US National","Season onset","week","Bin","42","43",0.000996945035890022
"US National","Season onset","week","Bin","43","44",0.000996945035890022
"US National","Season onset","week","Bin","44","45",0.000996945035890022
"US National","Season onset","week","Bin","45","46",0.000996945035890022
"US National","Season onset","week","Bin","46","47",0.000996945035890022
"US National","Season onset","week","Bin","47","48",0.963355034680782
"US National","Season onset","week","Bin","48","49",0.0109003003924108
"US National","Season onset","week","Bin","49","50",0.000954026034344938
"US National","Season onset","week","Bin","50","51",0.0011584500417042
"US National","Season onset","week","Bin","51","52",0.0017036000613296
"US National","Season onset","week","Bin","52","53",0.000817726029438137
"US National","Season onset","week","Bin","1","2",0.000303306010919017
"US National","Season onset","week","Bin","2","3",0.000545151019625437
"US National","Season onset","week","Bin","3","4",0.00136288004906368
"US National","Season onset","week","Bin","4","5",0.000954014034344506
"US National","Season onset","week","Bin","5","6",0.000885870031891322
"US National","Season onset","week","Bin","6","7",0.000477007017172253
"US National","Season onset","week","Bin","7","8",0.000477007017172253
"US National","Season onset","week","Bin","8","9",0.000303306010919017
"US National","Season onset","week","Bin","9","10",0.000303306010919017
"US National","Season onset","week","Bin","10","11",0.000303306010919017
"US National","Season onset","week","Bin","11","12",0.000303306010919017
"US National","Season onset","week","Bin","12","13",0.000996945035890022
"US National","Season onset","week","Bin","13","14",0.000996945035890022
"US National","Season onset","week","Bin","14","15",0.000996945035890022
"US National","Season onset","week","Bin","15","16",0.000996945035890022
"US National","Season onset","week","Bin","16","17",0.000996945035890022
"US National","Season onset","week","Bin","17","18",0.000996945035890022
"US National","Season onset","week","Bin","18","19",0.000303306010919017
"US National","Season onset","week","Bin","19","20",0.000303306010919017
"US National","Season onset","week","Bin","20","21",0.000303306010919017
"US National","Season onset","week","Bin","none","none",0.0010222000367992
"US National","Season peak week","week","Bin","40","41",0.00142226970701244
"US National","Season peak week","week","Bin","41","42",0.00142226970701244
"US National","Season peak week","week","Bin","42","43",0.00142226970701244
"US National","Season peak week","week","Bin","43","44",0.00142226970701244
"US National","Season peak week","week","Bin","44","45",0.00142226970701244
"US National","Season peak week","week","Bin","45","46",0.00142226970701244
"US National","Season peak week","week","Bin","46","47",0.00142226970701244
"US National","Season peak week","week","Bin","47","48",0.00142226970701244
"US National","Season peak week","week","Bin","48","49",0.00142226970701244
"US National","Season peak week","week","Bin","49","50",0.00142226970701244
"US National","Season peak week","week","Bin","50","51",0.00142226970701244
"US National","Season peak week","week","Bin","51","52",0.00142226970701244
"US National","Season peak week","week","Bin","52","53",0.00142226970701244
"US National","Season peak week","week","Bin","1","2",0.00142226970701244
"US National","Season peak week","week","Bin","2","3",0.00142226970701244
"US National","Season peak week","week","Bin","3","4",0.00142226970701244
"US National","Season peak week","week","Bin","4","5",0.00142226970701244
"US National","Season peak week","week","Bin","5","6",0.957562802742063
"US National","Season peak week","week","Bin","6","7",0.00142226970701244
"US National","Season peak week","week","Bin","7","8",0.00142226970701244
"US National","Season peak week","week","Bin","8","9",0.00142226970701244
"US National","Season peak week","week","Bin","9","10",0.00142226970701244
"US National","Season peak week","week","Bin","10","11",0.00142226970701244
"US National","Season peak week","week","Bin","11","12",0.00142226970701244
"US National","Season peak week","week","Bin","12","13",0.00142226970701244
"US National","Season peak week","week","Bin","13","14",0.00142226970701244
"US National","Season peak week","week","Bin","14","15",0.00142226970701244
"US National","Season peak week","week","Bin","15","16",0.00142226970701244
"US National","Season peak week","week","Bin","16","17",0.00142226970701244
"US National","Season peak week","week","Bin","17","18",0.00142226970701244
"US National","Season peak week","week","Bin","18","19",0.000303838937409179
"US National","Season peak week","week","Bin","19","20",0.000303838937409179
"US National","Season peak week","week","Bin","20","21",0.000583697879758237
"US National","Season peak percentage","percent","Bin","0","0.1",0.000118552985512825
"US National","Season peak percentage","percent","Bin","0.1","0.2",0.000118552985512825
"US National","Season peak percentage","percent","Bin","0.2","0.3",0.000118552985512825
"US National","Season peak percentage","percent","Bin","0.3","0.4",0.000118552985512825
"US National","Season peak percentage","percent","Bin","0.4","0.5",0.000118552985512825
"US National","Season peak percentage","percent","Bin","0.5","0.6",0.000118552985512825
"US National","Season peak percentage","percent","Bin","0.6","0.7",0.000118552985512825
"US National","Season peak percentage","percent","Bin","0.7","0.8",0.000118552985512825
"US National","Season peak percentage","percent","Bin","0.8","0.9",0.000118552985512825
"US National","Season peak percentage","percent","Bin","0.9","1",0.000118552985512825
"US National","Season peak percentage","percent","Bin","1","1.1",0.000118552985512825
"US National","Season peak percentage","percent","Bin","1.1","1.2",0.000118552985512825
"US National","Season peak percentage","percent","Bin","1.2","1.3",0.000118552985512825
