"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0
"US National","Season onset","week","Bin","41","42",0
"US National","Season onset","week","Bin","42","43",0
"US National","Season onset","week","Bin","43","44",0
"US National","Season onset","week","Bin","44","45",0
"US National","Season onset","week","Bin","45","46",0.113184147465438
"US National","Season onset","week","Bin","46","47",0.292783778801843
"US National","Season onset","week","Bin","47","48",0.126382304147465
"US National","Season onset","week","Bin","48","49",0.0465437788018433
"US National","Season onset","week","Bin","49","50",0.00921658986175116
"US National","Season onset","week","Bin","50","51",0.123502304147465
"US National","Season onset","week","Bin","51","52",0.0884792626728112
"US National","Season onset","week","Bin","52","53",0.0442396313364056
"US National","Season onset","week","Bin","1","2",0.00460829493087559
"US National","Season onset","week","Bin","2","3",0.0419354838709678
"US National","Season onset","week","Bin","3","4",0.0419354838709678
"US National","Season onset","week","Bin","4","5",0.00460829493087559
"US National","Season onset","week","Bin","5","6",0.03963133640553
"US National","Season onset","week","Bin","6","7",0.00230414746543779
"US National","Season onset","week","Bin","7","8",0
"US National","Season onset","week","Bin","8","9",0
"US National","Season onset","week","Bin","9","10",0
"US National","Season onset","week","Bin","10","11",0
"US National","Season onset","week","Bin","11","12",0
"US National","Season onset","week","Bin","12","13",0
"US National","Season onset","week","Bin","13","14",0
"US National","Season onset","week","Bin","14","15",0
"US National","Season onset","week","Bin","15","16",0
"US National","Season onset","week","Bin","16","17",0
"US National","Season onset","week","Bin","17","18",0
"US National","Season onset","week","Bin","18","19",0
"US National","Season onset","week","Bin","19","20",0
"US National","Season onset","week","Bin","20","21",0
"US National","Season onset","week","Bin","none","none",0.0206451612903226
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0
"US National","Season peak week","week","Bin","46","47",0
"US National","Season peak week","week","Bin","47","48",0
"US National","Season peak week","week","Bin","48","49",0
"US National","Season peak week","week","Bin","49","50",0
"US National","Season peak week","week","Bin","50","51",3e-04
"US National","Season peak week","week","Bin","51","52",0.0531444444444445
"US National","Season peak week","week","Bin","52","53",0.144444444444444
"US National","Season peak week","week","Bin","1","2",0.0444444444444445
"US National","Season peak week","week","Bin","2","3",0.00770740740740741
"US National","Season peak week","week","Bin","3","4",0.0258740740740741
"US National","Season peak week","week","Bin","4","5",0.0360222222222222
"US National","Season peak week","week","Bin","5","6",0.157762962962963
"US National","Season peak week","week","Bin","6","7",0.2458
"US National","Season peak week","week","Bin","7","8",0.164285185185185
"US National","Season peak week","week","Bin","8","9",0.041537037037037
"US National","Season peak week","week","Bin","9","10",0.00830740740740741
"US National","Season peak week","week","Bin","10","11",0.0314814814814815
"US National","Season peak week","week","Bin","11","12",0.0314814814814815
"US National","Season peak week","week","Bin","12","13",0.00740740740740741
"US National","Season peak week","week","Bin","13","14",0
"US National","Season peak week","week","Bin","14","15",0
"US National","Season peak week","week","Bin","15","16",0
"US National","Season peak week","week","Bin","16","17",0
"US National","Season peak week","week","Bin","17","18",0
"US National","Season peak week","week","Bin","18","19",0
"US National","Season peak week","week","Bin","19","20",0
"US National","Season peak week","week","Bin","20","21",0
"US National","Season peak percentage","percent","Bin","0","0.1",0
"US National","Season peak percentage","percent","Bin","0.1","0.2",0
"US National","Season peak percentage","percent","Bin","0.2","0.3",0
"US National","Season peak percentage","percent","Bin","0.3","0.4",0
"US National","Season peak percentage","percent","Bin","0.4","0.5",0
"US National","Season peak percentage","percent","Bin","0.5","0.6",0
"US National","Season peak percentage","percent","Bin","0.6","0.7",0
"US National","Season peak percentage","percent","Bin","0.7","0.8",0
"US National","Season peak percentage","percent","Bin","0.8","0.9",0
"US National","Season peak percentage","percent","Bin","0.9","1",0
"US National","Season peak percentage","percent","Bin","1","1.1",0
"US National","Season peak percentage","percent","Bin","1.1","1.2",0
"US National","Season peak percentage","percent","Bin","1.2","1.3",0
"US National","Season peak percentage","percent","Bin","1.3","1.4",0
"US National","Season peak percentage","percent","Bin","1.4","1.5",0
"US National","Season peak percentage","percent","Bin","1.5","1.6",0
"US National","Season peak percentage","percent","Bin","1.6","1.7",0
"US National","Season peak percentage","percent","Bin","1.7","1.8",0
"US National","Season peak percentage","percent","Bin","1.8","1.9",0
"US National","Season peak percentage","percent","Bin","1.9","2",0
"US National","Season peak percentage","percent","Bin","2","2.1",0
"US National","Season peak percentage","percent","Bin","2.1","2.2",0.00444444444444444
"US National","Season peak percentage","percent","Bin","2.2","2.3",0.00444444444444444
"US National","Season peak percentage","percent","Bin","2.3","2.4",0.0211111111111111
"US National","Season peak percentage","percent","Bin","2.4","2.5",0.00444444444444444
"US National","Season peak percentage","percent","Bin","2.5","2.6",0.00444444444444444
"US National","Season peak percentage","percent","Bin","2.6","2.7",3e-04
"US National","Season peak percentage","percent","Bin","2.7","2.8",0
"US National","Season peak percentage","percent","Bin","2.8","2.9",0.0012
"US National","Season peak percentage","percent","Bin","2.9","3",6e-04
"US National","Season peak percentage","percent","Bin","3","3.1",0.0118888888888889
"US National","Season peak percentage","percent","Bin","3.1","3.2",0.0142888888888889
"US National","Season peak percentage","percent","Bin","3.2","3.3",0.0500222222222222
"US National","Season peak percentage","percent","Bin","3.3","3.4",0.0324222222222222
"US National","Season peak percentage","percent","Bin","3.4","3.5",0.0336222222222222
"US National","Season peak percentage","percent","Bin","3.5","3.6",0.0887777777777778
"US National","Season peak percentage","percent","Bin","3.6","3.7",0.0390777777777778
"US National","Season peak percentage","percent","Bin","3.7","3.8",0.0575444444444444
"US National","Season peak percentage","percent","Bin","3.8","3.9",0.0284444444444444
"US National","Season peak percentage","percent","Bin","3.9","4",0.0308444444444444
"US National","Season peak percentage","percent","Bin","4","4.1",0.0291
"US National","Season peak percentage","percent","Bin","4.1","4.2",0.0248444444444444
"US National","Season peak percentage","percent","Bin","4.2","4.3",0.0272444444444444
"US National","Season peak percentage","percent","Bin","4.3","4.4",0.0426
"US National","Season peak percentage","percent","Bin","4.4","4.5",0.0313333333333333
"US National","Season peak percentage","percent","Bin","4.5","4.6",0.0592666666666667
"US National","Season peak percentage","percent","Bin","4.6","4.7",0.0190888888888889
"US National","Season peak percentage","percent","Bin","4.7","4.8",0.0139888888888889
"US National","Season peak percentage","percent","Bin","4.8","4.9",0.0101444444444444
"US National","Season peak percentage","percent","Bin","4.9","5",0.00714444444444444
"US National","Season peak percentage","percent","Bin","5","5.1",0.0232111111111111
"US National","Season peak percentage","percent","Bin","5.1","5.2",0.00624444444444444
"US National","Season peak percentage","percent","Bin","5.2","5.3",0.00948888888888889
"US National","Season peak percentage","percent","Bin","5.3","5.4",0.00444444444444444
"US National","Season peak percentage","percent","Bin","5.4","5.5",0.0217111111111111
"US National","Season peak percentage","percent","Bin","5.5","5.6",0.00444444444444444
"US National","Season peak percentage","percent","Bin","5.6","5.7",0.00444444444444444
"US National","Season peak percentage","percent","Bin","5.7","5.8",0.00888888888888889
"US National","Season peak percentage","percent","Bin","5.8","5.9",0.0133333333333333
"US National","Season peak percentage","percent","Bin","5.9","6",0.0466666666666667
"US National","Season peak percentage","percent","Bin","6","6.1",0.03
"US National","Season peak percentage","percent","Bin","6.1","6.2",0.0133333333333333
"US National","Season peak percentage","percent","Bin","6.2","6.3",0.00444444444444444
