"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.000151868684564963
"US National","Season onset","week","Bin","41","42",0.000330865918439364
"US National","Season onset","week","Bin","42","43",0.000621786461201087
"US National","Season onset","week","Bin","43","44",0.00103157655039038
"US National","Season onset","week","Bin","44","45",0.00153943313466008
"US National","Season onset","week","Bin","45","46",0.952098231053198
"US National","Season onset","week","Bin","46","47",0.00264512018437367
"US National","Season onset","week","Bin","47","48",0.00311659862735491
"US National","Season onset","week","Bin","48","49",0.00346231312785802
"US National","Season onset","week","Bin","49","50",0.00365354053298179
"US National","Season onset","week","Bin","50","51",0.0036851230139959
"US National","Season onset","week","Bin","51","52",0.00357200465166578
"US National","Season onset","week","Bin","52","53",0.00334270065608353
"US National","Season onset","week","Bin","1","2",0.0030320676007838
"US National","Season onset","week","Bin","2","3",0.00267508750454806
"US National","Season onset","week","Bin","3","4",0.0023025226950706
"US National","Season onset","week","Bin","4","5",0.00193857434309743
"US National","Season onset","week","Bin","5","6",0.00160022231592218
"US National","Season onset","week","Bin","6","7",0.00129773242120562
"US National","Season onset","week","Bin","7","8",0.00103581508895294
"US National","Season onset","week","Bin","8","9",0.000815020307764485
"US National","Season onset","week","Bin","9","10",0.000633087836036565
"US National","Season onset","week","Bin","10","11",0.000486096356161282
"US National","Season onset","week","Bin","11","12",0.000369350651474055
"US National","Season onset","week","Bin","12","13",0.000278008240126412
"US National","Season onset","week","Bin","13","14",0.000207480868904788
"US National","Season onset","week","Bin","14","15",0.000153659616524992
"US National","Season onset","week","Bin","15","16",0.000113012745580713
"US National","Season onset","week","Bin","16","17",8.25989928046923e-05
"US National","Season onset","week","Bin","17","18",6.00299208715986e-05
"US National","Season onset","week","Bin","18","19",4.34058167571545e-05
"US National","Season onset","week","Bin","19","20",3.12417037643353e-05
"US National","Season onset","week","Bin","20","21",2.23938054524376e-05
"US National","Season onset","week","Bin","none","none",0.00357142857142857
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0
"US National","Season peak week","week","Bin","46","47",0
"US National","Season peak week","week","Bin","47","48",0
"US National","Season peak week","week","Bin","48","49",0
"US National","Season peak week","week","Bin","49","50",0.00159882862958946
"US National","Season peak week","week","Bin","50","51",0.00306198696428482
"US National","Season peak week","week","Bin","51","52",0.0412396526543062
"US National","Season peak week","week","Bin","52","53",0.167523335889555
"US National","Season peak week","week","Bin","1","2",0.0346348060072726
"US National","Season peak week","week","Bin","2","3",0.0109587785638452
"US National","Season peak week","week","Bin","3","4",0.0314434820044394
"US National","Season peak week","week","Bin","4","5",0.126025426056248
"US National","Season peak week","week","Bin","5","6",0.308816126032015
"US National","Season peak week","week","Bin","6","7",0.151303044950963
"US National","Season peak week","week","Bin","7","8",0.0423963448098589
"US National","Season peak week","week","Bin","8","9",0.0317284970956633
"US National","Season peak week","week","Bin","9","10",0.0110254272628211
"US National","Season peak week","week","Bin","10","11",0.0149906661549545
"US National","Season peak week","week","Bin","11","12",0.0137108988027644
"US National","Season peak week","week","Bin","12","13",0.00725134158048576
"US National","Season peak week","week","Bin","13","14",0.00107631482797671
"US National","Season peak week","week","Bin","14","15",0.000607870860641902
"US National","Season peak week","week","Bin","15","16",0.000321924174663192
"US National","Season peak week","week","Bin","16","17",0.000159869464121007
"US National","Season peak week","week","Bin","17","18",7.4446871550082e-05
"US National","Season peak week","week","Bin","18","19",3.25084061687027e-05
"US National","Season peak week","week","Bin","19","20",1.33110534581134e-05
"US National","Season peak week","week","Bin","20","21",5.11088235387146e-06
"US National","Season peak percentage","percent","Bin","0","0.100000",0
"US National","Season peak percentage","percent","Bin","0.100000","0.200000",0
"US National","Season peak percentage","percent","Bin","0.200000","0.300000",0
"US National","Season peak percentage","percent","Bin","0.300000","0.400000",0
"US National","Season peak percentage","percent","Bin","0.400000","0.500000",0
"US National","Season peak percentage","percent","Bin","0.500000","0.600000",0
"US National","Season peak percentage","percent","Bin","0.600000","0.700000",0
"US National","Season peak percentage","percent","Bin","0.700000","0.800000",0
"US National","Season peak percentage","percent","Bin","0.800000","0.900000",0
"US National","Season peak percentage","percent","Bin","0.900000","1",0
"US National","Season peak percentage","percent","Bin","1","1.100000",0
"US National","Season peak percentage","percent","Bin","1.100000","1.200000",0
"US National","Season peak percentage","percent","Bin","1.200000","1.300000",0
"US National","Season peak percentage","percent","Bin","1.300000","1.400000",0
"US National","Season peak percentage","percent","Bin","1.400000","1.500000",0
"US National","Season peak percentage","percent","Bin","1.500000","1.600000",0
"US National","Season peak percentage","percent","Bin","1.600000","1.700000",0
"US National","Season peak percentage","percent","Bin","1.700000","1.800000",0
"US National","Season peak percentage","percent","Bin","1.800000","1.900000",0
"US National","Season peak percentage","percent","Bin","1.900000","2",0
"US National","Season peak percentage","percent","Bin","2","2.100000",0
"US National","Season peak percentage","percent","Bin","2.100000","2.200000",0
"US National","Season peak percentage","percent","Bin","2.200000","2.300000",0
"US National","Season peak percentage","percent","Bin","2.300000","2.400000",0
"US National","Season peak percentage","percent","Bin","2.400000","2.500000",0
"US National","Season peak percentage","percent","Bin","2.500000","2.600000",0
"US National","Season peak percentage","percent","Bin","2.600000","2.700000",0
"US National","Season peak percentage","percent","Bin","2.700000","2.800000",0
"US National","Season peak percentage","percent","Bin","2.800000","2.900000",0
"US National","Season peak percentage","percent","Bin","2.900000","3",0
"US National","Season peak percentage","percent","Bin","3","3.100000",0
