"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.000151868684564963
"US National","Season onset","week","Bin","41","42",0.000330865918439364
"US National","Season onset","week","Bin","42","43",0.000621786461201087
"US National","Season onset","week","Bin","43","44",0.00103157655039038
"US National","Season onset","week","Bin","44","45",0.00153943313466008
"US National","Season onset","week","Bin","45","46",0.952098231053198
"US National","Season onset","week","Bin","46","47",0.00264512018437367
"US National","Season onset","week","Bin","47","48",0.00311659862735491
"US National","Season onset","week","Bin","48","49",0.00346231312785802
"US National","Season onset","week","Bin","49","50",0.00365354053298179
"US National","Season onset","week","Bin","50","51",0.0036851230139959
"US National","Season onset","week","Bin","51","52",0.00357200465166578
"US National","Season onset","week","Bin","52","53",0.00334270065608353
"US National","Season onset","week","Bin","1","2",0.0030320676007838
"US National","Season onset","week","Bin","2","3",0.00267508750454806
"US National","Season onset","week","Bin","3","4",0.0023025226950706
"US National","Season onset","week","Bin","4","5",0.00193857434309743
"US National","Season onset","week","Bin","5","6",0.00160022231592218
"US National","Season onset","week","Bin","6","7",0.00129773242120562
"US National","Season onset","week","Bin","7","8",0.00103581508895294
"US National","Season onset","week","Bin","8","9",0.000815020307764485
"US National","Season onset","week","Bin","9","10",0.000633087836036565
"US National","Season onset","week","Bin","10","11",0.000486096356161282
"US National","Season onset","week","Bin","11","12",0.000369350651474055
"US National","Season onset","week","Bin","12","13",0.000278008240126412
"US National","Season onset","week","Bin","13","14",0.000207480868904788
"US National","Season onset","week","Bin","14","15",0.000153659616524992
"US National","Season onset","week","Bin","15","16",0.000113012745580713
"US National","Season onset","week","Bin","16","17",8.25989928046923e-05
"US National","Season onset","week","Bin","17","18",6.00299208715986e-05
"US National","Season onset","week","Bin","18","19",4.34058167571545e-05
"US National","Season onset","week","Bin","19","20",3.12417037643353e-05
"US National","Season onset","week","Bin","20","21",2.23938054524376e-05
"US National","Season onset","week","Bin","none","none",0.00357142857142857
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0
"US National","Season peak week","week","Bin","46","47",0
"US National","Season peak week","week","Bin","47","48",0
"US National","Season peak week","week","Bin","48","49",0
"US National","Season peak week","week","Bin","49","50",0
"US National","Season peak week","week","Bin","50","51",0
"US National","Season peak week","week","Bin","51","52",0
"US National","Season peak week","week","Bin","52","53",0.72
"US National","Season peak week","week","Bin","1","2",0
"US National","Season peak week","week","Bin","2","3",0.0103320737406868
"US National","Season peak week","week","Bin","3","4",0.0118376080413675
"US National","Season peak week","week","Bin","4","5",0.012717839024094
"US National","Season peak week","week","Bin","5","6",0.0578125528706989
"US National","Season peak week","week","Bin","6","7",0.0571040582150634
"US National","Season peak week","week","Bin","7","8",0.100722579326187
"US National","Season peak week","week","Bin","8","9",0.00890718237214987
"US National","Season peak week","week","Bin","9","10",0.00693831563796423
"US National","Season peak week","week","Bin","10","11",0.00506804135751196
"US National","Season peak week","week","Bin","11","12",0.00347134942741801
"US National","Season peak week","week","Bin","12","13",0.0022296065572431
"US National","Season peak week","week","Bin","13","14",0.00134285594731722
"US National","Season peak week","week","Bin","14","15",0.000758405421161284
"US National","Season peak week","week","Bin","15","16",0.000401646229611367
"US National","Season peak week","week","Bin","16","17",0.000199459911829772
"US National","Season peak week","week","Bin","17","18",9.28830688025713e-05
"US National","Season peak week","week","Bin","18","19",4.0558863844242e-05
"US National","Season peak week","week","Bin","19","20",1.6607433844321e-05
"US National","Season peak week","week","Bin","20","21",6.3765532040811e-06
"US National","Season peak percentage","percent","Bin","0","0.100000",0
"US National","Season peak percentage","percent","Bin","0.100000","0.200000",0
"US National","Season peak percentage","percent","Bin","0.200000","0.300000",0
"US National","Season peak percentage","percent","Bin","0.300000","0.400000",0
"US National","Season peak percentage","percent","Bin","0.400000","0.500000",0
"US National","Season peak percentage","percent","Bin","0.500000","0.600000",0
"US National","Season peak percentage","percent","Bin","0.600000","0.700000",0
"US National","Season peak percentage","percent","Bin","0.700000","0.800000",0
"US National","Season peak percentage","percent","Bin","0.800000","0.900000",0
"US National","Season peak percentage","percent","Bin","0.900000","1",0
"US National","Season peak percentage","percent","Bin","1","1.100000",0
"US National","Season peak percentage","percent","Bin","1.100000","1.200000",0
"US National","Season peak percentage","percent","Bin","1.200000","1.300000",0
"US National","Season peak percentage","percent","Bin","1.300000","1.400000",0
"US National","Season peak percentage","percent","Bin","1.400000","1.500000",0
"US National","Season peak percentage","percent","Bin","1.500000","1.600000",0
"US National","Season peak percentage","percent","Bin","1.600000","1.700000",0
"US National","Season peak percentage","percent","Bin","1.700000","1.800000",0
"US National","Season peak percentage","percent","Bin","1.800000","1.900000",0
"US National","Season peak percentage","percent","Bin","1.900000","2",0
"US National","Season peak percentage","percent","Bin","2","2.100000",0
"US National","Season peak percentage","percent","Bin","2.100000","2.200000",0
"US National","Season peak percentage","percent","Bin","2.200000","2.300000",0
"US National","Season peak percentage","percent","Bin","2.300000","2.400000",0
"US National","Season peak percentage","percent","Bin","2.400000","2.500000",0
"US National","Season peak percentage","percent","Bin","2.500000","2.600000",0
"US National","Season peak percentage","percent","Bin","2.600000","2.700000",0
"US National","Season peak percentage","percent","Bin","2.700000","2.800000",0
"US National","Season peak percentage","percent","Bin","2.800000","2.900000",0
"US National","Season peak percentage","percent","Bin","2.900000","3",0
"US National","Season peak percentage","percent","Bin","3","3.100000",0
"US National","Season peak percentage","percent","Bin","3.100000","3.200000",0
