"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.00150343919297757
"US National","Season onset","week","Bin","41","42",0.00150343919297757
"US National","Season onset","week","Bin","42","43",0.00150343919297757
"US National","Season onset","week","Bin","43","44",0.00150343919297757
"US National","Season onset","week","Bin","44","45",0.00150343919297757
"US National","Season onset","week","Bin","45","46",0.949753917920114
"US National","Season onset","week","Bin","46","47",0.00213602790460341
"US National","Season onset","week","Bin","47","48",0.00150343919297757
"US National","Season onset","week","Bin","48","49",0.00150343919297757
"US National","Season onset","week","Bin","49","50",0.00150343919297757
"US National","Season onset","week","Bin","50","51",0.00150343919297757
"US National","Season onset","week","Bin","51","52",0.00150343919297757
"US National","Season onset","week","Bin","52","53",0.00150343919297757
"US National","Season onset","week","Bin","1","2",0.00150343919297757
"US National","Season onset","week","Bin","2","3",0.00150343919297757
"US National","Season onset","week","Bin","3","4",0.00150343919297757
"US National","Season onset","week","Bin","4","5",0.00150343919297757
"US National","Season onset","week","Bin","5","6",0.00150343919297757
"US National","Season onset","week","Bin","6","7",0.00150343919297757
"US National","Season onset","week","Bin","7","8",0.00150343919297757
"US National","Season onset","week","Bin","8","9",0.00150343919297757
"US National","Season onset","week","Bin","9","10",0.00150343919297757
"US National","Season onset","week","Bin","10","11",0.00150343919297757
"US National","Season onset","week","Bin","11","12",0.00150343919297757
"US National","Season onset","week","Bin","12","13",0.00150343919297757
"US National","Season onset","week","Bin","13","14",0.00150343919297757
"US National","Season onset","week","Bin","14","15",0.00150343919297757
"US National","Season onset","week","Bin","15","16",0.00150343919297757
"US National","Season onset","week","Bin","16","17",0.00150343919297757
"US National","Season onset","week","Bin","17","18",0.00150343919297757
"US National","Season onset","week","Bin","18","19",0.00150343919297757
"US National","Season onset","week","Bin","19","20",0.00150343919297757
"US National","Season onset","week","Bin","20","21",0.00150343919297757
"US National","Season onset","week","Bin","none","none",0.00150343919297757
"US National","Season peak week","week","Bin","40","41",0.00150343919297757
"US National","Season peak week","week","Bin","41","42",0.00150343919297757
"US National","Season peak week","week","Bin","42","43",0.00150343919297757
"US National","Season peak week","week","Bin","43","44",0.00150343919297757
"US National","Season peak week","week","Bin","44","45",0.00150343919297757
"US National","Season peak week","week","Bin","45","46",0.00150343919297757
"US National","Season peak week","week","Bin","46","47",0.00150343919297757
"US National","Season peak week","week","Bin","47","48",0.00150343919297757
"US National","Season peak week","week","Bin","48","49",0.00150343919297757
"US National","Season peak week","week","Bin","49","50",0.00150343919297757
"US National","Season peak week","week","Bin","50","51",0.00150343919297757
"US National","Season peak week","week","Bin","51","52",0.00150343919297757
"US National","Season peak week","week","Bin","52","53",0.732850802170796
"US National","Season peak week","week","Bin","1","2",0.0182355959998744
"US National","Season peak week","week","Bin","2","3",0.00880474398144165
"US National","Season peak week","week","Bin","3","4",0.0529167937450788
"US National","Season peak week","week","Bin","4","5",0.0690405084862703
"US National","Season peak week","week","Bin","5","6",0.0513956885808154
"US National","Season peak week","week","Bin","6","7",0.0188440380655797
"US National","Season peak week","week","Bin","7","8",0.00819630191573631
"US National","Season peak week","week","Bin","8","9",0.00363298642294626
"US National","Season peak week","week","Bin","9","10",0.00150343919297757
"US National","Season peak week","week","Bin","10","11",0.00150343919297757
"US National","Season peak week","week","Bin","11","12",0.00150343919297757
"US National","Season peak week","week","Bin","12","13",0.00150343919297757
"US National","Season peak week","week","Bin","13","14",0.00150343919297757
"US National","Season peak week","week","Bin","14","15",0.00150343919297757
"US National","Season peak week","week","Bin","15","16",0.00150343919297757
"US National","Season peak week","week","Bin","16","17",0.00150343919297757
"US National","Season peak week","week","Bin","17","18",0.00150343919297757
"US National","Season peak week","week","Bin","18","19",0.00150343919297757
"US National","Season peak week","week","Bin","19","20",0.00150343919297757
"US National","Season peak week","week","Bin","20","21",0.00150343919297757
"US National","Season peak percentage","percent","Bin","0","0.100000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","0.100000","0.200000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","0.200000","0.300000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","0.300000","0.400000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","0.400000","0.500000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","0.500000","0.600000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","0.600000","0.700000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","0.700000","0.800000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","0.800000","0.900000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","0.900000","1",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1","1.100000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1.100000","1.200000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1.200000","1.300000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1.300000","1.400000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1.400000","1.500000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1.500000","1.600000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1.600000","1.700000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1.700000","1.800000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1.800000","1.900000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","1.900000","2",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2","2.100000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2.100000","2.200000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2.200000","2.300000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2.300000","2.400000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2.400000","2.500000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2.500000","2.600000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2.600000","2.700000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2.700000","2.800000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2.800000","2.900000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","2.900000","3",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3","3.100000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3.100000","3.200000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3.200000","3.300000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3.300000","3.400000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3.400000","3.500000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3.500000","3.600000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3.600000","3.700000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3.700000","3.800000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3.800000","3.900000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","3.900000","4",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4","4.100000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4.100000","4.200000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4.200000","4.300000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4.300000","4.400000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4.400000","4.500000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4.500000","4.600000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4.600000","4.700000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4.700000","4.800000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4.800000","4.900000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","4.900000","5",0.000553084370147834
"US National","Season peak percentage","percent","Bin","5","5.100000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","5.100000","5.200000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","5.200000","5.300000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","5.300000","5.400000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","5.400000","5.500000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","5.500000","5.600000",0.000553084370147834
"US National","Season peak percentage","percent","Bin","5.600000","5.700000",0.00117144833515492
"US National","Season peak percentage","percent","Bin","5.700000","5.800000",0.00426326816019037
"US National","Season peak percentage","percent","Bin","5.800000","5.900000",0.0172489114253392
"US National","Season peak percentage","percent","Bin","5.900000","6",0.0490946556232043
"US National","Season peak percentage","percent","Bin","6","6.100000",0.0837230376636014
"US National","Season peak percentage","percent","Bin","6.100000","6.200000",0.155453257604424
"US National","Season peak percentage","percent","Bin","6.200000","6.300000",0.152979801744395
"US National","Season peak percentage","percent","Bin","6.300000","6.400000",0.129172789091622
"US National","Season peak percentage","percent","Bin","6.400000","6.500000",0.11154941608892
"US National","Season peak percentage","percent","Bin","6.500000","6.600000",0.0568242051857931
"US National","Season peak percentage","percent","Bin","6.600000","6.700000",0.0339447384805307
"US National","Season peak percentage","percent","Bin","6.700000","6.800000",0.0178672753903463
"US National","Season peak percentage","percent","Bin","6.800000","6.900000",0.0150846375478144
"US National","Season peak percentage","percent","Bin","6.900000","7",0.00982854384525418
"US National","Season peak percentage","percent","Bin","7","7.100000",0.00890099789774355
"US National","Season peak percentage","percent","Bin","7.100000","7.200000",0.00673672402021874
"US National","Season peak percentage","percent","Bin","7.200000","7.300000",0.00828263393273646
"US National","Season peak percentage","percent","Bin","7.300000","7.400000",0.00549999609020455
"US National","Season peak percentage","percent","Bin","7.400000","7.500000",0.0104469078102613
