"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.00109093802011844
"US National","Season onset","week","Bin","41","42",0.00125032815455445
"US National","Season onset","week","Bin","42","43",0.00139434223929
"US National","Season onset","week","Bin","43","44",0.00158120593794952
"US National","Season onset","week","Bin","44","45",0.00182555990721338
"US National","Season onset","week","Bin","45","46",0.0021266822162662
"US National","Season onset","week","Bin","46","47",0.00244268946288989
"US National","Season onset","week","Bin","47","48",0.948557632491803
"US National","Season onset","week","Bin","48","49",0.00280827058812227
"US National","Season onset","week","Bin","49","50",0.00281363609995035
"US National","Season onset","week","Bin","50","51",0.00274972697205879
"US National","Season onset","week","Bin","51","52",0.00264166286890364
"US National","Season onset","week","Bin","52","53",0.00249684206139576
"US National","Season onset","week","Bin","1","2",0.00232512849398437
"US National","Season onset","week","Bin","2","3",0.00214279779083662
"US National","Season onset","week","Bin","3","4",0.00196830638807747
"US National","Season onset","week","Bin","4","5",0.00181139098341695
"US National","Season onset","week","Bin","5","6",0.00167433936036781
"US National","Season onset","week","Bin","6","7",0.00155403189657732
"US National","Season onset","week","Bin","7","8",0.00144396305278263
"US National","Season onset","week","Bin","8","9",0.0013406255926733
"US National","Season onset","week","Bin","9","10",0.001242330360265
"US National","Season onset","week","Bin","10","11",0.00115038635427421
"US National","Season onset","week","Bin","11","12",0.0010681423075693
"US National","Season onset","week","Bin","12","13",0.000997742508579225
"US National","Season onset","week","Bin","13","14",0.000940717166852516
"US National","Season onset","week","Bin","14","15",0.000896506068215035
"US National","Season onset","week","Bin","15","16",0.000862782473139153
"US National","Season onset","week","Bin","16","17",0.000836801010207676
"US National","Season onset","week","Bin","17","18",0.000815203659722978
"US National","Season onset","week","Bin","18","19",0.00079528431558869
"US National","Season onset","week","Bin","19","20",0.000775306736203041
"US National","Season onset","week","Bin","20","21",0.000754591420475022
"US National","Season onset","week","Bin","none","none",0.000824105039676459
"US National","Season peak week","week","Bin","40","41",0.00269227280274641
"US National","Season peak week","week","Bin","41","42",0.00270598597534928
"US National","Season peak week","week","Bin","42","43",0.00270598645384193
"US National","Season peak week","week","Bin","43","44",0.00270598678823919
"US National","Season peak week","week","Bin","44","45",0.00270598699211981
"US National","Season peak week","week","Bin","45","46",0.00270598710171637
"US National","Season peak week","week","Bin","46","47",0.00270598716252294
"US National","Season peak week","week","Bin","47","48",0.00270598723119944
"US National","Season peak week","week","Bin","48","49",0.00270598741563313
"US National","Season peak week","week","Bin","49","50",0.00270598796964037
"US National","Season peak week","week","Bin","50","51",0.00270598944743628
"US National","Season peak week","week","Bin","51","52",0.00270599282484269
"US National","Season peak week","week","Bin","52","53",0.0027059993725254
"US National","Season peak week","week","Bin","1","2",0.00270601009407515
"US National","Season peak week","week","Bin","2","3",0.00270602460845453
"US National","Season peak week","week","Bin","3","4",0.00270604030479192
"US National","Season peak week","week","Bin","4","5",0.00270624153478854
"US National","Season peak week","week","Bin","5","6",0.896616442164879
"US National","Season peak week","week","Bin","6","7",0.0195111939869053
"US National","Season peak week","week","Bin","7","8",0.00270604058585283
"US National","Season peak week","week","Bin","8","9",0.00270602490522381
"US National","Season peak week","week","Bin","9","10",0.00270601038296357
"US National","Season peak week","week","Bin","10","11",0.00270599959075597
"US National","Season peak week","week","Bin","11","12",0.00270599295467831
"US National","Season peak week","week","Bin","12","13",0.00270598951888803
"US National","Season peak week","week","Bin","13","14",0.00270598799396627
"US National","Season peak week","week","Bin","14","15",0.00270598739920564
"US National","Season peak week","week","Bin","15","16",0.00270598715998366
"US National","Season peak week","week","Bin","16","17",0.00270598699320004
"US National","Season peak week","week","Bin","17","18",0.00270598676604349
