"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0
"US National","Season onset","week","Bin","41","42",0
"US National","Season onset","week","Bin","42","43",0
"US National","Season onset","week","Bin","43","44",0
"US National","Season onset","week","Bin","44","45",0.333333333333333
"US National","Season onset","week","Bin","45","46",0.333333333333333
"US National","Season onset","week","Bin","46","47",0.333333333333333
"US National","Season onset","week","Bin","47","48",0
"US National","Season onset","week","Bin","48","49",0
"US National","Season onset","week","Bin","49","50",0
"US National","Season onset","week","Bin","50","51",0
"US National","Season onset","week","Bin","51","52",0
"US National","Season onset","week","Bin","52","53",0
"US National","Season onset","week","Bin","1","2",0
"US National","Season onset","week","Bin","2","3",0
"US National","Season onset","week","Bin","3","4",0
"US National","Season onset","week","Bin","4","5",0
"US National","Season onset","week","Bin","5","6",0
"US National","Season onset","week","Bin","6","7",0
"US National","Season onset","week","Bin","7","8",0
"US National","Season onset","week","Bin","8","9",0
"US National","Season onset","week","Bin","9","10",0
"US National","Season onset","week","Bin","10","11",0
"US National","Season onset","week","Bin","11","12",0
"US National","Season onset","week","Bin","12","13",0
"US National","Season onset","week","Bin","13","14",0
"US National","Season onset","week","Bin","14","15",0
"US National","Season onset","week","Bin","15","16",0
"US National","Season onset","week","Bin","16","17",0
"US National","Season onset","week","Bin","17","18",0
"US National","Season onset","week","Bin","18","19",0
"US National","Season onset","week","Bin","19","20",0
"US National","Season onset","week","Bin","20","21",0
"US National","Season onset","week","Bin","none","none",0
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0
"US National","Season peak week","week","Bin","46","47",0
"US National","Season peak week","week","Bin","47","48",0
"US National","Season peak week","week","Bin","48","49",0
"US National","Season peak week","week","Bin","49","50",0
"US National","Season peak week","week","Bin","50","51",0
"US National","Season peak week","week","Bin","51","52",0.287819231832369
"US National","Season peak week","week","Bin","52","53",0.332753361482421
"US National","Season peak week","week","Bin","1","2",0.332753361482421
"US National","Season peak week","week","Bin","2","3",0.045030866356305
"US National","Season peak week","week","Bin","3","4",0.000258611295499445
"US National","Season peak week","week","Bin","4","5",0.000579971850911964
"US National","Season peak week","week","Bin","5","6",0.000483235144659335
"US National","Season peak week","week","Bin","6","7",0.000321360555412519
"US National","Season peak week","week","Bin","7","8",0
"US National","Season peak week","week","Bin","8","9",0
"US National","Season peak week","week","Bin","9","10",0
"US National","Season peak week","week","Bin","10","11",0
"US National","Season peak week","week","Bin","11","12",0
"US National","Season peak week","week","Bin","12","13",0
"US National","Season peak week","week","Bin","13","14",0
"US National","Season peak week","week","Bin","14","15",0
"US National","Season peak week","week","Bin","15","16",0
"US National","Season peak week","week","Bin","16","17",0
"US National","Season peak week","week","Bin","17","18",0
"US National","Season peak week","week","Bin","18","19",0
"US National","Season peak week","week","Bin","19","20",0
"US National","Season peak week","week","Bin","20","21",0
"US National","Season peak percentage","percent","Bin","0","0.100000",0
"US National","Season peak percentage","percent","Bin","0.100000","0.200000",0
"US National","Season peak percentage","percent","Bin","0.200000","0.300000",0
"US National","Season peak percentage","percent","Bin","0.300000","0.400000",0
"US National","Season peak percentage","percent","Bin","0.400000","0.500000",0
"US National","Season peak percentage","percent","Bin","0.500000","0.600000",0
"US National","Season peak percentage","percent","Bin","0.600000","0.700000",0
"US National","Season peak percentage","percent","Bin","0.700000","0.800000",0
"US National","Season peak percentage","percent","Bin","0.800000","0.900000",0
"US National","Season peak percentage","percent","Bin","0.900000","1",0
"US National","Season peak percentage","percent","Bin","1","1.100000",0
"US National","Season peak percentage","percent","Bin","1.100000","1.200000",0
"US National","Season peak percentage","percent","Bin","1.200000","1.300000",0
"US National","Season peak percentage","percent","Bin","1.300000","1.400000",0
"US National","Season peak percentage","percent","Bin","1.400000","1.500000",0
"US National","Season peak percentage","percent","Bin","1.500000","1.600000",0
"US National","Season peak percentage","percent","Bin","1.600000","1.700000",0
"US National","Season peak percentage","percent","Bin","1.700000","1.800000",0
"US National","Season peak percentage","percent","Bin","1.800000","1.900000",0
"US National","Season peak percentage","percent","Bin","1.900000","2",0
"US National","Season peak percentage","percent","Bin","2","2.100000",0
"US National","Season peak percentage","percent","Bin","2.100000","2.200000",0
"US National","Season peak percentage","percent","Bin","2.200000","2.300000",0
"US National","Season peak percentage","percent","Bin","2.300000","2.400000",0
"US National","Season peak percentage","percent","Bin","2.400000","2.500000",0
"US National","Season peak percentage","percent","Bin","2.500000","2.600000",0
"US National","Season peak percentage","percent","Bin","2.600000","2.700000",0
"US National","Season peak percentage","percent","Bin","2.700000","2.800000",0
"US National","Season peak percentage","percent","Bin","2.800000","2.900000",0.000214123487313693
"US National","Season peak percentage","percent","Bin","2.900000","3",0.00329548503383743
"US National","Season peak percentage","percent","Bin","3","3.100000",0.0182392555353673
"US National","Season peak percentage","percent","Bin","3.100000","3.200000",0.0265732780057738
"US National","Season peak percentage","percent","Bin","3.200000","3.300000",0.0356554718062084
"US National","Season peak percentage","percent","Bin","3.300000","3.400000",0.0415633111629311
"US National","Season peak percentage","percent","Bin","3.400000","3.500000",0.0443289955295947
"US National","Season peak percentage","percent","Bin","3.500000","3.600000",0.0472456706109675
"US National","Season peak percentage","percent","Bin","3.600000","3.700000",0.0500514788805555
"US National","Season peak percentage","percent","Bin","3.700000","3.800000",0.0534241322594905
"US National","Season peak percentage","percent","Bin","3.800000","3.900000",0.0562827988704064
"US National","Season peak percentage","percent","Bin","3.900000","4",0.0581531078904553
"US National","Season peak percentage","percent","Bin","4","4.100000",0.0569021663801796
"US National","Season peak percentage","percent","Bin","4.100000","4.200000",0.0436551799173893
"US National","Season peak percentage","percent","Bin","4.200000","4.300000",0.0365780708869985
"US National","Season peak percentage","percent","Bin","4.300000","4.400000",0.0310675074370966
"US National","Season peak percentage","percent","Bin","4.400000","4.500000",0.0265986471109994
"US National","Season peak percentage","percent","Bin","4.500000","4.600000",0.0262395777984643
"US National","Season peak percentage","percent","Bin","4.600000","4.700000",0.025115405597865
"US National","Season peak percentage","percent","Bin","4.700000","4.800000",0.0244964918869699
"US National","Season peak percentage","percent","Bin","4.800000","4.900000",0.02252614472168
"US National","Season peak percentage","percent","Bin","4.900000","5",0.0220565222880069
"US National","Season peak percentage","percent","Bin","5","5.100000",0.0217560181379766
"US National","Season peak percentage","percent","Bin","5.100000","5.200000",0.0212727210738121
"US National","Season peak percentage","percent","Bin","5.200000","5.300000",0.0203637928890199
"US National","Season peak percentage","percent","Bin","5.300000","5.400000",0.0196404082701323
"US National","Season peak percentage","percent","Bin","5.400000","5.500000",0.0169407179297906
"US National","Season peak percentage","percent","Bin","5.500000","5.600000",0.015939189708851
"US National","Season peak percentage","percent","Bin","5.600000","5.700000",0.0144183264594098
"US National","Season peak percentage","percent","Bin","5.700000","5.800000",0.0135776608776042
"US National","Season peak percentage","percent","Bin","5.800000","5.900000",0.0117717374820144
"US National","Season peak percentage","percent","Bin","5.900000","6",0.0106075233233999
"US National","Season peak percentage","percent","Bin","6","6.100000",0.00889355617027626
"US National","Season peak percentage","percent","Bin","6.100000","6.200000",0.00746492821942368
"US National","Season peak percentage","percent","Bin","6.200000","6.300000",0.00642133275946474
"US National","Season peak percentage","percent","Bin","6.300000","6.400000",0.00599700108004336
