Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season peak week,Bin,week,17,18,0.032222015
US National,Season peak week,Bin,week,18,19,0.019060036
US National,Season peak week,Bin,week,19,20,0.004283852
US National,Season peak week,Bin,week,20,21,6.21E-05
US National,Season peak percentage,Point,percent,NA,NA,3.597357143
US National,Season peak percentage,Bin,percent,0,0.1,0.00001
US National,Season peak percentage,Bin,percent,0.1,0.2,0.00001
US National,Season peak percentage,Bin,percent,0.2,0.3,0.00001
US National,Season peak percentage,Bin,percent,0.3,0.4,0.00001
US National,Season peak percentage,Bin,percent,0.4,0.5,0.00001
US National,Season peak percentage,Bin,percent,0.5,0.6,0.00001
US National,Season peak percentage,Bin,percent,0.6,0.7,0.00001
US National,Season peak percentage,Bin,percent,0.7,0.8,0.00001
US National,Season peak percentage,Bin,percent,0.8,0.9,0.00001
US National,Season peak percentage,Bin,percent,0.9,1,0.00001
US National,Season peak percentage,Bin,percent,1,1.1,0.00001
US National,Season peak percentage,Bin,percent,1.1,1.2,0.00001
US National,Season peak percentage,Bin,percent,1.2,1.3,0.00001
US National,Season peak percentage,Bin,percent,1.3,1.4,0.00001
US National,Season peak percentage,Bin,percent,1.4,1.5,0.00001
US National,Season peak percentage,Bin,percent,1.5,1.6,0.00001
US National,Season peak percentage,Bin,percent,1.6,1.7,0.00001
US National,Season peak percentage,Bin,percent,1.7,1.8,0.00001
US National,Season peak percentage,Bin,percent,1.8,1.9,0.00001
US National,Season peak percentage,Bin,percent,1.9,2,0.00001
US National,Season peak percentage,Bin,percent,2,2.1,0.001666667
US National,Season peak percentage,Bin,percent,2.1,2.2,0.06
US National,Season peak percentage,Bin,percent,2.2,2.3,0.013095238
US National,Season peak percentage,Bin,percent,2.3,2.4,0.008809524
US National,Season peak percentage,Bin,percent,2.4,2.5,0.00001
US National,Season peak percentage,Bin,percent,2.5,2.6,0.011904762
US National,Season peak percentage,Bin,percent,2.6,2.7,0.020714286
US National,Season peak percentage,Bin,percent,2.7,2.8,0.065
US National,Season peak percentage,Bin,percent,2.8,2.9,0.041428571
US National,Season peak percentage,Bin,percent,2.9,3,0.00001
US National,Season peak percentage,Bin,percent,3,3.1,0.054047619
US National,Season peak percentage,Bin,percent,3.1,3.2,0.063809524
US National,Season peak percentage,Bin,percent,3.2,3.3,0.224285714
US National,Season peak percentage,Bin,percent,3.3,3.4,0.058095238
US National,Season peak percentage,Bin,percent,3.4,3.5,0.00001
US National,Season peak percentage,Bin,percent,3.5,3.6,0.035952381
US National,Season peak percentage,Bin,percent,3.6,3.7,0.06547619
US National,Season peak percentage,Bin,percent,3.7,3.8,0.064285714
US National,Season peak percentage,Bin,percent,3.8,3.9,0.005714286
US National,Season peak percentage,Bin,percent,3.9,4,0.00001
US National,Season peak percentage,Bin,percent,4,4.1,0.007619048
US National,Season peak percentage,Bin,percent,4.1,4.2,0.00001
US National,Season peak percentage,Bin,percent,4.2,4.3,0.003571429
US National,Season peak percentage,Bin,percent,4.3,4.4,0.006190476
US National,Season peak percentage,Bin,percent,4.4,4.5,0.005
US National,Season peak percentage,Bin,percent,4.5,4.6,0.01
US National,Season peak percentage,Bin,percent,4.6,4.7,0.00001
US National,Season peak percentage,Bin,percent,4.7,4.8,0.008333333
US National,Season peak percentage,Bin,percent,4.8,4.9,0.00001
US National,Season peak percentage,Bin,percent,4.9,5,0.00452381
US National,Season peak percentage,Bin,percent,5,5.1,0.01452381
US National,Season peak percentage,Bin,percent,5.1,5.2,0.00001
US National,Season peak percentage,Bin,percent,5.2,5.3,0.036666667
US National,Season peak percentage,Bin,percent,5.3,5.4,0.00001
US National,Season peak percentage,Bin,percent,5.4,5.5,0.002142857
US National,Season peak percentage,Bin,percent,5.5,5.6,0.014047619
US National,Season peak percentage,Bin,percent,5.6,5.7,0.00001
US National,Season peak percentage,Bin,percent,5.7,5.8,0.02952381
US National,Season peak percentage,Bin,percent,5.8,5.9,0.00001
US National,Season peak percentage,Bin,percent,5.9,6,0.016666667
US National,Season peak percentage,Bin,percent,6,6.1,0.03452381
US National,Season peak percentage,Bin,percent,6.1,6.2,0.00001
US National,Season peak percentage,Bin,percent,6.2,6.3,0.011190476
US National,Season peak percentage,Bin,percent,6.3,6.4,0.00001
US National,Season peak percentage,Bin,percent,6.4,6.5,0.000952381
US National,Season peak percentage,Bin,percent,6.5,6.6,0.000238095
US National,Season peak percentage,Bin,percent,6.6,6.7,0.00001
US National,Season peak percentage,Bin,percent,6.7,6.8,0.00001
US National,Season peak percentage,Bin,percent,6.8,6.9,0.00001
US National,Season peak percentage,Bin,percent,6.9,7,0.00001
US National,Season peak percentage,Bin,percent,7,7.1,0.00001
US National,Season peak percentage,Bin,percent,7.1,7.2,0.00001
US National,Season peak percentage,Bin,percent,7.2,7.3,0.00001
US National,Season peak percentage,Bin,percent,7.3,7.4,0.00001
US National,Season peak percentage,Bin,percent,7.4,7.5,0.00001
US National,Season peak percentage,Bin,percent,7.5,7.6,0.00001
US National,Season peak percentage,Bin,percent,7.6,7.7,0.00001
US National,Season peak percentage,Bin,percent,7.7,7.8,0.00001
US National,Season peak percentage,Bin,percent,7.8,7.9,0.00001
US National,Season peak percentage,Bin,percent,7.9,8,0.00001
US National,Season peak percentage,Bin,percent,8,8.1,0.00001
US National,Season peak percentage,Bin,percent,8.1,8.2,0
US National,Season peak percentage,Bin,percent,8.2,8.3,0
US National,Season peak percentage,Bin,percent,8.3,8.4,0
US National,Season peak percentage,Bin,percent,8.4,8.5,0
US National,Season peak percentage,Bin,percent,8.5,8.6,0
US National,Season peak percentage,Bin,percent,8.6,8.7,0
US National,Season peak percentage,Bin,percent,8.7,8.8,0
US National,Season peak percentage,Bin,percent,8.8,8.9,0
US National,Season peak percentage,Bin,percent,8.9,9,0
US National,Season peak percentage,Bin,percent,9,9.1,0
US National,Season peak percentage,Bin,percent,9.1,9.2,0
US National,Season peak percentage,Bin,percent,9.2,9.3,0
US National,Season peak percentage,Bin,percent,9.3,9.4,0
US National,Season peak percentage,Bin,percent,9.4,9.5,0
US National,Season peak percentage,Bin,percent,9.5,9.6,0
US National,Season peak percentage,Bin,percent,9.6,9.7,0
US National,Season peak percentage,Bin,percent,9.7,9.8,0
US National,Season peak percentage,Bin,percent,9.8,9.9,0
US National,Season peak percentage,Bin,percent,9.9,10,0
US National,Season peak percentage,Bin,percent,10,10.1,0
US National,Season peak percentage,Bin,percent,10.1,10.2,0
US National,Season peak percentage,Bin,percent,10.2,10.3,0
US National,Season peak percentage,Bin,percent,10.3,10.4,0
US National,Season peak percentage,Bin,percent,10.4,10.5,0
US National,Season peak percentage,Bin,percent,10.5,10.6,0
US National,Season peak percentage,Bin,percent,10.6,10.7,0
US National,Season peak percentage,Bin,percent,10.7,10.8,0
US National,Season peak percentage,Bin,percent,10.8,10.9,0
US National,Season peak percentage,Bin,percent,10.9,11,0
US National,Season peak percentage,Bin,percent,11,11.1,0
US National,Season peak percentage,Bin,percent,11.1,11.2,0
US National,Season peak percentage,Bin,percent,11.2,11.3,0
US National,Season peak percentage,Bin,percent,11.3,11.4,0
US National,Season peak percentage,Bin,percent,11.4,11.5,0
US National,Season peak percentage,Bin,percent,11.5,11.6,0
US National,Season peak percentage,Bin,percent,11.6,11.7,0
US National,Season peak percentage,Bin,percent,11.7,11.8,0
US National,Season peak percentage,Bin,percent,11.8,11.9,0
US National,Season peak percentage,Bin,percent,11.9,12,0
US National,Season peak percentage,Bin,percent,12,12.1,0
US National,Season peak percentage,Bin,percent,12.1,12.2,0
US National,Season peak percentage,Bin,percent,12.2,12.3,0
US National,Season peak percentage,Bin,percent,12.3,12.4,0
US National,Season peak percentage,Bin,percent,12.4,12.5,0
US National,Season peak percentage,Bin,percent,12.5,12.6,0
US National,Season peak percentage,Bin,percent,12.6,12.7,0
US National,Season peak percentage,Bin,percent,12.7,12.8,0
US National,Season peak percentage,Bin,percent,12.8,12.9,0
US National,Season peak percentage,Bin,percent,12.9,13,0
US National,Season peak percentage,Bin,percent,13,100,0
US National,1 wk ahead,Point,percent,NA,NA,2.629380952
US National,1 wk ahead,Bin,percent,0,0.1,0.00001
US National,1 wk ahead,Bin,percent,0.1,0.2,0.00001
US National,1 wk ahead,Bin,percent,0.2,0.3,0.00001
US National,1 wk ahead,Bin,percent,0.3,0.4,0.00001
US National,1 wk ahead,Bin,percent,0.4,0.5,0.00001
US National,1 wk ahead,Bin,percent,0.5,0.6,0.00001
US National,1 wk ahead,Bin,percent,0.6,0.7,0.00001
US National,1 wk ahead,Bin,percent,0.7,0.8,0.00001
US National,1 wk ahead,Bin,percent,0.8,0.9,0.00001
US National,1 wk ahead,Bin,percent,0.9,1,0.00001
US National,1 wk ahead,Bin,percent,1,1.1,0.00001
US National,1 wk ahead,Bin,percent,1.1,1.2,0.00001
US National,1 wk ahead,Bin,percent,1.2,1.3,0.00001
US National,1 wk ahead,Bin,percent,1.3,1.4,0.00001
US National,1 wk ahead,Bin,percent,1.4,1.5,0.00001
US National,1 wk ahead,Bin,percent,1.5,1.6,0.00001
US National,1 wk ahead,Bin,percent,1.6,1.7,0.00001
US National,1 wk ahead,Bin,percent,1.7,1.8,0.00001
US National,1 wk ahead,Bin,percent,1.8,1.9,0.00001
US National,1 wk ahead,Bin,percent,1.9,2,0.001190476
US National,1 wk ahead,Bin,percent,2,2.1,0.043095238
US National,1 wk ahead,Bin,percent,2.1,2.2,0.026904762
US National,1 wk ahead,Bin,percent,2.2,2.3,0.003333333
US National,1 wk ahead,Bin,percent,2.3,2.4,0.011428571
US National,1 wk ahead,Bin,percent,2.4,2.5,0.05
US National,1 wk ahead,Bin,percent,2.5,2.6,0.173809524
US National,1 wk ahead,Bin,percent,2.6,2.7,0.37547619
US National,1 wk ahead,Bin,percent,2.7,2.8,0.156428571
US National,1 wk ahead,Bin,percent,2.8,2.9,0.117619048
US National,1 wk ahead,Bin,percent,2.9,3,0.037857143
US National,1 wk ahead,Bin,percent,3,3.1,0.002857143
US National,1 wk ahead,Bin,percent,3.1,3.2,0.00001
US National,1 wk ahead,Bin,percent,3.2,3.3,0.00001
US National,1 wk ahead,Bin,percent,3.3,3.4,0.00001
US National,1 wk ahead,Bin,percent,3.4,3.5,0.00001
US National,1 wk ahead,Bin,percent,3.5,3.6,0.00001
US National,1 wk ahead,Bin,percent,3.6,3.7,0.00001
US National,1 wk ahead,Bin,percent,3.7,3.8,0.00001
US National,1 wk ahead,Bin,percent,3.8,3.9,0.00001
US National,1 wk ahead,Bin,percent,3.9,4,0.00001
US National,1 wk ahead,Bin,percent,4,4.1,0.00001
US National,1 wk ahead,Bin,percent,4.1,4.2,0.00001
US National,1 wk ahead,Bin,percent,4.2,4.3,0.00001
US National,1 wk ahead,Bin,percent,4.3,4.4,0.00001
US National,1 wk ahead,Bin,percent,4.4,4.5,0.00001
US National,1 wk ahead,Bin,percent,4.5,4.6,0.00001
US National,1 wk ahead,Bin,percent,4.6,4.7,0
US National,1 wk ahead,Bin,percent,4.7,4.8,0
US National,1 wk ahead,Bin,percent,4.8,4.9,0
US National,1 wk ahead,Bin,percent,4.9,5,0
US National,1 wk ahead,Bin,percent,5,5.1,0
US National,1 wk ahead,Bin,percent,5.1,5.2,0
US National,1 wk ahead,Bin,percent,5.2,5.3,0
US National,1 wk ahead,Bin,percent,5.3,5.4,0
US National,1 wk ahead,Bin,percent,5.4,5.5,0
US National,1 wk ahead,Bin,percent,5.5,5.6,0
US National,1 wk ahead,Bin,percent,5.6,5.7,0
US National,1 wk ahead,Bin,percent,5.7,5.8,0
US National,1 wk ahead,Bin,percent,5.8,5.9,0
US National,1 wk ahead,Bin,percent,5.9,6,0
US National,1 wk ahead,Bin,percent,6,6.1,0
US National,1 wk ahead,Bin,percent,6.1,6.2,0
US National,1 wk ahead,Bin,percent,6.2,6.3,0
US National,1 wk ahead,Bin,percent,6.3,6.4,0
US National,1 wk ahead,Bin,percent,6.4,6.5,0
US National,1 wk ahead,Bin,percent,6.5,6.6,0
US National,1 wk ahead,Bin,percent,6.6,6.7,0
US National,1 wk ahead,Bin,percent,6.7,6.8,0
US National,1 wk ahead,Bin,percent,6.8,6.9,0
US National,1 wk ahead,Bin,percent,6.9,7,0
US National,1 wk ahead,Bin,percent,7,7.1,0
US National,1 wk ahead,Bin,percent,7.1,7.2,0
US National,1 wk ahead,Bin,percent,7.2,7.3,0
US National,1 wk ahead,Bin,percent,7.3,7.4,0
US National,1 wk ahead,Bin,percent,7.4,7.5,0
US National,1 wk ahead,Bin,percent,7.5,7.6,0
US National,1 wk ahead,Bin,percent,7.6,7.7,0
US National,1 wk ahead,Bin,percent,7.7,7.8,0
US National,1 wk ahead,Bin,percent,7.8,7.9,0
US National,1 wk ahead,Bin,percent,7.9,8,0
US National,1 wk ahead,Bin,percent,8,8.1,0
US National,1 wk ahead,Bin,percent,8.1,8.2,0
US National,1 wk ahead,Bin,percent,8.2,8.3,0
US National,1 wk ahead,Bin,percent,8.3,8.4,0
US National,1 wk ahead,Bin,percent,8.4,8.5,0
US National,1 wk ahead,Bin,percent,8.5,8.6,0
US National,1 wk ahead,Bin,percent,8.6,8.7,0
US National,1 wk ahead,Bin,percent,8.7,8.8,0
US National,1 wk ahead,Bin,percent,8.8,8.9,0
US National,1 wk ahead,Bin,percent,8.9,9,0
US National,1 wk ahead,Bin,percent,9,9.1,0
US National,1 wk ahead,Bin,percent,9.1,9.2,0
US National,1 wk ahead,Bin,percent,9.2,9.3,0
US National,1 wk ahead,Bin,percent,9.3,9.4,0
US National,1 wk ahead,Bin,percent,9.4,9.5,0
US National,1 wk ahead,Bin,percent,9.5,9.6,0
US National,1 wk ahead,Bin,percent,9.6,9.7,0
US National,1 wk ahead,Bin,percent,9.7,9.8,0
US National,1 wk ahead,Bin,percent,9.8,9.9,0
US National,1 wk ahead,Bin,percent,9.9,10,0
US National,1 wk ahead,Bin,percent,10,10.1,0
US National,1 wk ahead,Bin,percent,10.1,10.2,0
US National,1 wk ahead,Bin,percent,10.2,10.3,0
US National,1 wk ahead,Bin,percent,10.3,10.4,0
US National,1 wk ahead,Bin,percent,10.4,10.5,0
US National,1 wk ahead,Bin,percent,10.5,10.6,0
US National,1 wk ahead,Bin,percent,10.6,10.7,0
US National,1 wk ahead,Bin,percent,10.7,10.8,0
US National,1 wk ahead,Bin,percent,10.8,10.9,0
US National,1 wk ahead,Bin,percent,10.9,11,0
US National,1 wk ahead,Bin,percent,11,11.1,0
US National,1 wk ahead,Bin,percent,11.1,11.2,0
US National,1 wk ahead,Bin,percent,11.2,11.3,0
US National,1 wk ahead,Bin,percent,11.3,11.4,0
US National,1 wk ahead,Bin,percent,11.4,11.5,0
US National,1 wk ahead,Bin,percent,11.5,11.6,0
US National,1 wk ahead,Bin,percent,11.6,11.7,0
US National,1 wk ahead,Bin,percent,11.7,11.8,0
US National,1 wk ahead,Bin,percent,11.8,11.9,0
US National,1 wk ahead,Bin,percent,11.9,12,0
US National,1 wk ahead,Bin,percent,12,12.1,0
US National,1 wk ahead,Bin,percent,12.1,12.2,0
US National,1 wk ahead,Bin,percent,12.2,12.3,0
US National,1 wk ahead,Bin,percent,12.3,12.4,0
US National,1 wk ahead,Bin,percent,12.4,12.5,0
US National,1 wk ahead,Bin,percent,12.5,12.6,0
US National,1 wk ahead,Bin,percent,12.6,12.7,0
US National,1 wk ahead,Bin,percent,12.7,12.8,0
US National,1 wk ahead,Bin,percent,12.8,12.9,0
US National,1 wk ahead,Bin,percent,12.9,13,0
US National,1 wk ahead,Bin,percent,13,100,0
US National,2 wk ahead,Point,percent,NA,NA,2.758
US National,2 wk ahead,Bin,percent,0,0.1,0.00001
US National,2 wk ahead,Bin,percent,0.1,0.2,0.00001
US National,2 wk ahead,Bin,percent,0.2,0.3,0.00001
US National,2 wk ahead,Bin,percent,0.3,0.4,0.00001
US National,2 wk ahead,Bin,percent,0.4,0.5,0.00001
US National,2 wk ahead,Bin,percent,0.5,0.6,0.00001
US National,2 wk ahead,Bin,percent,0.6,0.7,0.00001
US National,2 wk ahead,Bin,percent,0.7,0.8,0.00001
US National,2 wk ahead,Bin,percent,0.8,0.9,0.00001
US National,2 wk ahead,Bin,percent,0.9,1,0.00001
US National,2 wk ahead,Bin,percent,1,1.1,0.00001
US National,2 wk ahead,Bin,percent,1.1,1.2,0.00001
US National,2 wk ahead,Bin,percent,1.2,1.3,0.00001
US National,2 wk ahead,Bin,percent,1.3,1.4,0.00001
US National,2 wk ahead,Bin,percent,1.4,1.5,0.00001
US National,2 wk ahead,Bin,percent,1.5,1.6,0.00001
US National,2 wk ahead,Bin,percent,1.6,1.7,0.00001
US National,2 wk ahead,Bin,percent,1.7,1.8,0.00001
US National,2 wk ahead,Bin,percent,1.8,1.9,0.00001
US National,2 wk ahead,Bin,percent,1.9,2,0.017380952
US National,2 wk ahead,Bin,percent,2,2.1,0.052142857
US National,2 wk ahead,Bin,percent,2.1,2.2,0.001904762
US National,2 wk ahead,Bin,percent,2.2,2.3,0.001666667
US National,2 wk ahead,Bin,percent,2.3,2.4,0.005952381
US National,2 wk ahead,Bin,percent,2.4,2.5,0.019047619
US National,2 wk ahead,Bin,percent,2.5,2.6,0.051190476
US National,2 wk ahead,Bin,percent,2.6,2.7,0.116190476
US National,2 wk ahead,Bin,percent,2.7,2.8,0.284761905
US National,2 wk ahead,Bin,percent,2.8,2.9,0.226666667
US National,2 wk ahead,Bin,percent,2.9,3,0.060238095
US National,2 wk ahead,Bin,percent,3,3.1,0.102857143
US National,2 wk ahead,Bin,percent,3.1,3.2,0.052380952
US National,2 wk ahead,Bin,percent,3.2,3.3,0.007619048
US National,2 wk ahead,Bin,percent,3.3,3.4,0.00001
US National,2 wk ahead,Bin,percent,3.4,3.5,0.00001
US National,2 wk ahead,Bin,percent,3.5,3.6,0.00001
US National,2 wk ahead,Bin,percent,3.6,3.7,0.00001
US National,2 wk ahead,Bin,percent,3.7,3.8,0.00001
US National,2 wk ahead,Bin,percent,3.8,3.9,0.00001
US National,2 wk ahead,Bin,percent,3.9,4,0.00001
US National,2 wk ahead,Bin,percent,4,4.1,0.00001
US National,2 wk ahead,Bin,percent,4.1,4.2,0.00001
US National,2 wk ahead,Bin,percent,4.2,4.3,0.00001
US National,2 wk ahead,Bin,percent,4.3,4.4,0.00001
US National,2 wk ahead,Bin,percent,4.4,4.5,0.00001
US National,2 wk ahead,Bin,percent,4.5,4.6,0.00001
US National,2 wk ahead,Bin,percent,4.6,4.7,0.00001
US National,2 wk ahead,Bin,percent,4.7,4.8,0.00001
US National,2 wk ahead,Bin,percent,4.8,4.9,0
US National,2 wk ahead,Bin,percent,4.9,5,0
US National,2 wk ahead,Bin,percent,5,5.1,0
US National,2 wk ahead,Bin,percent,5.1,5.2,0
US National,2 wk ahead,Bin,percent,5.2,5.3,0
US National,2 wk ahead,Bin,percent,5.3,5.4,0
US National,2 wk ahead,Bin,percent,5.4,5.5,0
US National,2 wk ahead,Bin,percent,5.5,5.6,0
US National,2 wk ahead,Bin,percent,5.6,5.7,0
US National,2 wk ahead,Bin,percent,5.7,5.8,0
US National,2 wk ahead,Bin,percent,5.8,5.9,0
US National,2 wk ahead,Bin,percent,5.9,6,0
US National,2 wk ahead,Bin,percent,6,6.1,0
US National,2 wk ahead,Bin,percent,6.1,6.2,0
US National,2 wk ahead,Bin,percent,6.2,6.3,0
US National,2 wk ahead,Bin,percent,6.3,6.4,0
US National,2 wk ahead,Bin,percent,6.4,6.5,0
US National,2 wk ahead,Bin,percent,6.5,6.6,0
US National,2 wk ahead,Bin,percent,6.6,6.7,0
US National,2 wk ahead,Bin,percent,6.7,6.8,0
US National,2 wk ahead,Bin,percent,6.8,6.9,0
US National,2 wk ahead,Bin,percent,6.9,7,0
US National,2 wk ahead,Bin,percent,7,7.1,0
US National,2 wk ahead,Bin,percent,7.1,7.2,0
US National,2 wk ahead,Bin,percent,7.2,7.3,0
US National,2 wk ahead,Bin,percent,7.3,7.4,0
US National,2 wk ahead,Bin,percent,7.4,7.5,0
US National,2 wk ahead,Bin,percent,7.5,7.6,0
US National,2 wk ahead,Bin,percent,7.6,7.7,0
US National,2 wk ahead,Bin,percent,7.7,7.8,0
US National,2 wk ahead,Bin,percent,7.8,7.9,0
US National,2 wk ahead,Bin,percent,7.9,8,0
US National,2 wk ahead,Bin,percent,8,8.1,0
US National,2 wk ahead,Bin,percent,8.1,8.2,0
US National,2 wk ahead,Bin,percent,8.2,8.3,0
US National,2 wk ahead,Bin,percent,8.3,8.4,0
US National,2 wk ahead,Bin,percent,8.4,8.5,0
US National,2 wk ahead,Bin,percent,8.5,8.6,0
US National,2 wk ahead,Bin,percent,8.6,8.7,0
US National,2 wk ahead,Bin,percent,8.7,8.8,0
US National,2 wk ahead,Bin,percent,8.8,8.9,0
US National,2 wk ahead,Bin,percent,8.9,9,0
US National,2 wk ahead,Bin,percent,9,9.1,0
US National,2 wk ahead,Bin,percent,9.1,9.2,0
US National,2 wk ahead,Bin,percent,9.2,9.3,0
US National,2 wk ahead,Bin,percent,9.3,9.4,0
US National,2 wk ahead,Bin,percent,9.4,9.5,0
US National,2 wk ahead,Bin,percent,9.5,9.6,0
US National,2 wk ahead,Bin,percent,9.6,9.7,0
US National,2 wk ahead,Bin,percent,9.7,9.8,0
US National,2 wk ahead,Bin,percent,9.8,9.9,0
US National,2 wk ahead,Bin,percent,9.9,10,0
US National,2 wk ahead,Bin,percent,10,10.1,0
US National,2 wk ahead,Bin,percent,10.1,10.2,0
US National,2 wk ahead,Bin,percent,10.2,10.3,0
US National,2 wk ahead,Bin,percent,10.3,10.4,0
US National,2 wk ahead,Bin,percent,10.4,10.5,0
US National,2 wk ahead,Bin,percent,10.5,10.6,0
US National,2 wk ahead,Bin,percent,10.6,10.7,0
US National,2 wk ahead,Bin,percent,10.7,10.8,0
US National,2 wk ahead,Bin,percent,10.8,10.9,0
US National,2 wk ahead,Bin,percent,10.9,11,0
US National,2 wk ahead,Bin,percent,11,11.1,0
US National,2 wk ahead,Bin,percent,11.1,11.2,0
US National,2 wk ahead,Bin,percent,11.2,11.3,0
US National,2 wk ahead,Bin,percent,11.3,11.4,0
US National,2 wk ahead,Bin,percent,11.4,11.5,0
US National,2 wk ahead,Bin,percent,11.5,11.6,0
US National,2 wk ahead,Bin,percent,11.6,11.7,0
US National,2 wk ahead,Bin,percent,11.7,11.8,0
US National,2 wk ahead,Bin,percent,11.8,11.9,0
US National,2 wk ahead,Bin,percent,11.9,12,0
US National,2 wk ahead,Bin,percent,12,12.1,0
US National,2 wk ahead,Bin,percent,12.1,12.2,0
US National,2 wk ahead,Bin,percent,12.2,12.3,0
US National,2 wk ahead,Bin,percent,12.3,12.4,0
US National,2 wk ahead,Bin,percent,12.4,12.5,0
US National,2 wk ahead,Bin,percent,12.5,12.6,0
US National,2 wk ahead,Bin,percent,12.6,12.7,0
US National,2 wk ahead,Bin,percent,12.7,12.8,0
US National,2 wk ahead,Bin,percent,12.8,12.9,0
US National,2 wk ahead,Bin,percent,12.9,13,0
US National,2 wk ahead,Bin,percent,13,100,0
US National,3 wk ahead,Point,percent,NA,NA,2.881166667
US National,3 wk ahead,Bin,percent,0,0.1,0.00001
US National,3 wk ahead,Bin,percent,0.1,0.2,0.00001
US National,3 wk ahead,Bin,percent,0.2,0.3,0.00001
US National,3 wk ahead,Bin,percent,0.3,0.4,0.00001
US National,3 wk ahead,Bin,percent,0.4,0.5,0.00001
US National,3 wk ahead,Bin,percent,0.5,0.6,0.00001
US National,3 wk ahead,Bin,percent,0.6,0.7,0.00001
US National,3 wk ahead,Bin,percent,0.7,0.8,0.00001
US National,3 wk ahead,Bin,percent,0.8,0.9,0.00001
US National,3 wk ahead,Bin,percent,0.9,1,0.00001
US National,3 wk ahead,Bin,percent,1,1.1,0.00001
US National,3 wk ahead,Bin,percent,1.1,1.2,0.00001
US National,3 wk ahead,Bin,percent,1.2,1.3,0.00001
US National,3 wk ahead,Bin,percent,1.3,1.4,0.00001
US National,3 wk ahead,Bin,percent,1.4,1.5,0.00001
US National,3 wk ahead,Bin,percent,1.5,1.6,0.00001
US National,3 wk ahead,Bin,percent,1.6,1.7,0.00001
US National,3 wk ahead,Bin,percent,1.7,1.8,0.00001
US National,3 wk ahead,Bin,percent,1.8,1.9,0.006904762
US National,3 wk ahead,Bin,percent,1.9,2,0.050238095
US National,3 wk ahead,Bin,percent,2,2.1,0.014285714
US National,3 wk ahead,Bin,percent,2.1,2.2,0.00047619
US National,3 wk ahead,Bin,percent,2.2,2.3,0.001666667
US National,3 wk ahead,Bin,percent,2.3,2.4,0.00547619
