"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0
"US National","Season onset","week","Bin","41","42",0
"US National","Season onset","week","Bin","42","43",0
"US National","Season onset","week","Bin","43","44",0
"US National","Season onset","week","Bin","44","45",0
"US National","Season onset","week","Bin","45","46",0
"US National","Season onset","week","Bin","46","47",0
"US National","Season onset","week","Bin","47","48",0
"US National","Season onset","week","Bin","48","49",0
"US National","Season onset","week","Bin","49","50",0
"US National","Season onset","week","Bin","50","51",0.990099
"US National","Season onset","week","Bin","51","52",0
"US National","Season onset","week","Bin","52","53",0
"US National","Season onset","week","Bin","1","2",0
"US National","Season onset","week","Bin","2","3",0
"US National","Season onset","week","Bin","3","4",0
"US National","Season onset","week","Bin","4","5",0
"US National","Season onset","week","Bin","5","6",0
"US National","Season onset","week","Bin","6","7",0
"US National","Season onset","week","Bin","7","8",0
"US National","Season onset","week","Bin","8","9",0
"US National","Season onset","week","Bin","9","10",0
"US National","Season onset","week","Bin","10","11",0
"US National","Season onset","week","Bin","11","12",0
"US National","Season onset","week","Bin","12","13",0
"US National","Season onset","week","Bin","13","14",0
"US National","Season onset","week","Bin","14","15",0
"US National","Season onset","week","Bin","15","16",0
"US National","Season onset","week","Bin","16","17",0
"US National","Season onset","week","Bin","17","18",0
"US National","Season onset","week","Bin","18","19",0
"US National","Season onset","week","Bin","19","20",0
"US National","Season onset","week","Bin","20","21",0
"US National","Season onset","week","Bin","none","none",0.009901
"US National","Season peak week","week","Bin","40","41",8.86524936524814e-05
"US National","Season peak week","week","Bin","41","42",0.000177304987304963
"US National","Season peak week","week","Bin","42","43",0.000177304987304963
"US National","Season peak week","week","Bin","43","44",4.43261968262443e-05
"US National","Season peak week","week","Bin","44","45",8.86524936524814e-05
"US National","Season peak week","week","Bin","45","46",4.43261968262443e-05
"US National","Season peak week","week","Bin","46","47",4.43261968262443e-05
"US National","Season peak week","week","Bin","47","48",8.86524936524814e-05
"US National","Season peak week","week","Bin","48","49",8.86524936524814e-05
"US National","Season peak week","week","Bin","49","50",4.43261968262443e-05
"US National","Season peak week","week","Bin","50","51",8.86524936524814e-05
"US National","Season peak week","week","Bin","51","52",0.000310283977783667
"US National","Season peak week","week","Bin","52","53",0.00203900985400689
"US National","Season peak week","week","Bin","1","2",0.00026595698095748
"US National","Season peak week","week","Bin","2","3",4.43261968262443e-05
"US National","Season peak week","week","Bin","3","4",0.00026595698095748
"US National","Season peak week","week","Bin","4","5",0.000620566955567406
"US National","Season peak week","week","Bin","5","6",0.000886524936524814
"US National","Season peak week","week","Bin","6","7",0.989207929172712
"US National","Season peak week","week","Bin","7","8",0.00146276989526568
"US National","Season peak week","week","Bin","8","9",0.000797871942872369
"US National","Season peak week","week","Bin","9","10",0.000132978990478704
"US National","Season peak week","week","Bin","10","11",0.00048758896508863
"US National","Season peak week","week","Bin","11","12",0.000354609974609926
"US National","Season peak week","week","Bin","12","13",8.86524936524814e-05
"US National","Season peak week","week","Bin","13","14",8.86524936524814e-05
"US National","Season peak week","week","Bin","14","15",0.000697450950062512
"US National","Season peak week","week","Bin","15","16",4.43261968262443e-05
"US National","Season peak week","week","Bin","16","17",0.000697450950062512
"US National","Season peak week","week","Bin","17","18",4.43261968262443e-05
"US National","Season peak week","week","Bin","18","19",8.86524936524814e-05
"US National","Season peak week","week","Bin","19","20",4.43261968262443e-05
"US National","Season peak week","week","Bin","20","21",0.000354609974609926
"US National","Season peak percentage","percent","Bin","0","0.1",0
"US National","Season peak percentage","percent","Bin","0.1","0.2",0
"US National","Season peak percentage","percent","Bin","0.2","0.3",0
"US National","Season peak percentage","percent","Bin","0.3","0.4",0
"US National","Season peak percentage","percent","Bin","0.4","0.5",0
"US National","Season peak percentage","percent","Bin","0.5","0.6",0
"US National","Season peak percentage","percent","Bin","0.6","0.7",0
"US National","Season peak percentage","percent","Bin","0.7","0.8",0
"US National","Season peak percentage","percent","Bin","0.8","0.9",0
"US National","Season peak percentage","percent","Bin","0.9","1",0
"US National","Season peak percentage","percent","Bin","1","1.1",4.98404797647652e-05
"US National","Season peak percentage","percent","Bin","1.1","1.2",0
"US National","Season peak percentage","percent","Bin","1.2","1.3",0
"US National","Season peak percentage","percent","Bin","1.3","1.4",0
"US National","Season peak percentage","percent","Bin","1.4","1.5",4.98404797647652e-05
"US National","Season peak percentage","percent","Bin","1.5","1.6",0
"US National","Season peak percentage","percent","Bin","1.6","1.7",0
"US National","Season peak percentage","percent","Bin","1.7","1.8",0
"US National","Season peak percentage","percent","Bin","1.8","1.9",0
"US National","Season peak percentage","percent","Bin","1.9","2",0
"US National","Season peak percentage","percent","Bin","2","2.1",4.98404797647652e-05
"US National","Season peak percentage","percent","Bin","2.1","2.2",9.96809595295304e-05
"US National","Season peak percentage","percent","Bin","2.2","2.3",0.000249202898823623
"US National","Season peak percentage","percent","Bin","2.3","2.4",0.000199361919059061
"US National","Season peak percentage","percent","Bin","2.4","2.5",0.000199361919059061
"US National","Season peak percentage","percent","Bin","2.5","2.6",0.000149521939294093
"US National","Season peak percentage","percent","Bin","2.6","2.7",9.96809595295304e-05
"US National","Season peak percentage","percent","Bin","2.7","2.8",9.96809595295304e-05
"US National","Season peak percentage","percent","Bin","2.8","2.9",9.96809595295304e-05
"US National","Season peak percentage","percent","Bin","2.9","3",9.96809595295304e-05
"US National","Season peak percentage","percent","Bin","3","3.1",0
"US National","Season peak percentage","percent","Bin","3.1","3.2",4.98404797647652e-05
"US National","Season peak percentage","percent","Bin","3.2","3.3",0.000149521939294093
"US National","Season peak percentage","percent","Bin","3.3","3.4",4.98404797647652e-05
"US National","Season peak percentage","percent","Bin","3.4","3.5",0.000249202898823623
"US National","Season peak percentage","percent","Bin","3.5","3.6",9.96809595295304e-05
"US National","Season peak percentage","percent","Bin","3.6","3.7",0.000448564817882684
"US National","Season peak percentage","percent","Bin","3.7","3.8",0.000299042878588591
"US National","Season peak percentage","percent","Bin","3.8","3.9",0.000149521939294093
"US National","Season peak percentage","percent","Bin","3.9","4",0.000249202898823623
"US National","Season peak percentage","percent","Bin","4","4.1",0.000149521939294093
"US National","Season peak percentage","percent","Bin","4.1","4.2",0.000348883858353154
"US National","Season peak percentage","percent","Bin","4.2","4.3",0.000199361919059061
"US National","Season peak percentage","percent","Bin","4.3","4.4",0.000149521939294093
"US National","Season peak percentage","percent","Bin","4.4","4.5",0.000299042878588591
"US National","Season peak percentage","percent","Bin","4.5","4.6",0.000149521939294093
"US National","Season peak percentage","percent","Bin","4.6","4.7",0.000199361919059061
"US National","Season peak percentage","percent","Bin","4.7","4.8",0.000199361919059061
"US National","Season peak percentage","percent","Bin","4.8","4.9",4.98404797647652e-05
"US National","Season peak percentage","percent","Bin","4.9","5",0.000199361919059061
"US National","Season peak percentage","percent","Bin","5","5.1",0.000199361919059061
"US National","Season peak percentage","percent","Bin","5.1","5.2",9.96809595295304e-05
"US National","Season peak percentage","percent","Bin","5.2","5.3",0.988426598698801
"US National","Season peak percentage","percent","Bin","5.3","5.4",0.00080264667412545
"US National","Season peak percentage","percent","Bin","5.4","5.5",0.00070296571459592
"US National","Season peak percentage","percent","Bin","5.5","5.6",0.000149521939294093
"US National","Season peak percentage","percent","Bin","5.6","5.7",9.96809595295304e-05
"US National","Season peak percentage","percent","Bin","5.7","5.8",9.96809595295304e-05
"US National","Season peak percentage","percent","Bin","5.8","5.9",0
